,aID,vacancies,company,post_time,job,location,month_salary,year_salary,year-end_salary,bonus,dividends,   ,mood,frequency_overtime,average_day,seniority,total_seniority,work_content,advise_content,whole_art,word
234,24,高級銷售主任,裕隆集團_納智捷汽車股份有限公司,2020.04.15,全職,臺南,,,,,,,還算愉快,常常加班,12 hr,4,0,南部分公司的待遇應該...,算是裕隆集團旗下的自...,南部分公司的待遇應該。算是裕隆集團旗下的自,"['南部', '分公司', '待遇', '裕隆', '集團', '旗下']"
247,25,產品公關,裕隆集團_納智捷汽車股份有限公司,2020.01.20,全職,新北,,,,,,,非常開心,準時上下班,9 hr,1,0,"基本上平常事前不多
...",因為是學校合作所以沒...,基本上平常事前不多。。因為是學校合作所以沒,"['平常', '學校', '合作']"
258,26,引擎技師,裕隆集團_納智捷汽車股份有限公司,2019.02.16,全職,桃園,,,,,,,平常心,偶爾加班,9 hr,2,0,主管影響心情，公司新...,做修車這個行業，興趣...,主管影響心情，公司新。做修車這個行業，興趣,"['主管', '影響', '心情', '公司', '車', '行業', '興趣']"
270,30,技師,Luxgen_北智捷汽車股份有限公司,2021.01.20,全職,臺北,,,,,,,有苦說不出,常常加班,10 hr,4,0,業績制度 如考過公司...,這裡是看實力決定你的...,業績制度 如考過公司。這裡是看實力決定你的,"['業績', '制度', '公司', '實力', '決定']"
283,31,接待專員,Luxgen_北智捷汽車股份有限公司,2020.09.18,全職,臺北,,,,,,,平常心,偶爾加班,9 hr,2,0,接待車輛、開立工單跟...,納智捷的車其實不錯，...,接待車輛、開立工單跟。納智捷的車其實不錯，,"['接待', '車輛', '開立', '工單', '納智捷', '車', '不錯']"
293,32,測試工程師,Luxgen_北智捷汽車股份有限公司,2019.06.28,全職,新北,,,,,,,平常心,偶爾加班,8 hr,3,0,測試項目不多，但每項...,Luxgen營運每況...,測試項目不多，但每項。Luxgen營運每況,"['測試', '項目', 'Luxgen', '營運', '況']"
304,33,業務,Luxgen_北智捷汽車股份有限公司,2018.01.26,全職,臺北,,,,,,,還算愉快,偶爾加班,-,1,0,納智捷本身有完善的教...,,納智捷本身有完善的教。,"['納智捷', '完善']"
313,36,行政會計,LUXGEN納智捷汽車_中智捷汽車股份有限公司,2022.02.01,全職,臺中,,,,,,,平常心,常常加班,9 hr,4,8,就是很標準的服務業環...,公司文化制度基本上不...,就是很標準的服務業環。公司文化制度基本上不,"['標準', '服務業', '公司', '文化', '制度']"
324,37,技師,LUXGEN納智捷汽車_中智捷汽車股份有限公司,2021.12.31,全職,臺中,,,,,,,想換工作了,賣肝拼經濟,12 hr,3,3,常常加班、太以客為尊...,想學電系是個不錯的地...,常常加班、太以客為尊。想學電系是個不錯的地,"['加班', '客', '尊', '電系', '不錯']"
338,38,技工,LUXGEN納智捷汽車_中智捷汽車股份有限公司,2020.10.16,全職,臺中,,,,,,,想換工作了,常常加班,11 hr,2,0,"福利尚可,可以學習到...",如要學習汽車維修電子...,"福利尚可,可以學習到。如要學習汽車維修電子","['福利', '尚可', '學習', '學習', '汽車', '維修', '電子']"
353,39,工讀生,LUXGEN納智捷汽車_中智捷汽車股份有限公司,2020.08.29,全職,臺中,,,,,,,平常心,偶爾加班,8 hr,1,0,會有人帶，工作上都可...,比較適合活潑，然後有...,會有人帶，工作上都可。比較適合活潑，然後有,"['工作', '適合', '活潑']"
363,40,引擎技師,LUXGEN納智捷汽車_中智捷汽車股份有限公司,2020.05.14,全職,彰化,,,,,,,平常心,偶爾加班,8 hr,3,0,以汽車服務廠來說待遇...,"這是一家不錯的公司
...",以汽車服務廠來說待遇。這是一家不錯的公司。,"['汽車', '服務廠', '待遇', '不錯', '公司']"
375,41,專員,LUXGEN納智捷汽車_中智捷汽車股份有限公司,2019.09.24,全職,彰化,,,,,,,還算愉快,偶爾加班,9 hr,2,0,壓力很大，KPI項目...,要有精明的頭腦也要有...,壓力很大，KPI項目。要有精明的頭腦也要有,"['壓力', 'KPI', '項目', '精明', '頭腦']"
