,company_name,industry,location,mood,frequence,salary_month,interview_num,salary_num,account
0,裕隆集團_納智捷汽車股份有限公司,其他,苗栗,平常心,偶爾加班,39k,18,20,"9,800,000,000"
1,Luxgen_北智捷汽車股份有限公司,汽機車及其零配件用品／批發業,臺北,平常心,偶爾加班,39.8k,6,7,"185,000,000"
2,LUXGEN納智捷汽車_中智捷汽車股份有限公司,其他,臺中,有苦說不出,常常加班,34.1k,6,13,"106,000,000"
3,裕隆集團_裕隆汽車製造股份有限公司,汽車及其零件製造業,苗栗,有苦說不出,偶爾加班,41.9k,90,136,"20,000,000,000"
4,裕隆集團_裕隆日產汽車股份有限公司,汽車及其零件製造業,苗栗,平常心,偶爾加班,43.9k,36,88,"6,000,000,000"
5,中華汽車工業股份有限公司,汽車及其零件製造業,臺北,平常心,偶爾加班,40.2k,110,141,"18,000,000,000"
6,三陽工業股份有限公司,汽車及其零件製造業,新竹,平常心,很少加班,38.6k,91,89,"9,500,000,000"
7,福特六和汽車股份有限公司（Ford Lio Ho Motor Company）,汽車及其零件製造業,桃園,平常心,偶爾加班,56.6k,48,32,"790,547,770"
8,TOYOTA 製造商_國瑞汽車股份有限公司,汽車及其零件製造業,桃園,平常心,偶爾加班,38.3k,74,36,"3,460,000,000"
9,台灣本田汽車股份有限公司,其他,屏東,平常心,偶爾加班,29.4k,16,28,"2,101,000,000"
10,成運汽車製造股份有限公司,汽車及其零件製造業,屏東,還算愉快,很少加班,52k,1,9,"3,000,000,000"
11,華德動能科技股份有限公司,其他,臺北,有苦說不出,偶爾加班,37.5k,10,15,"1,500,000,000"
12,鴻華先進科技股份有限公司,其他,新北,有苦說不出,偶爾加班,56.7k,11,19,"19,600,000,000"
13,為升電裝工業股份有限公司,汽車及其零件製造業,彰化,平常心,偶爾加班,37k,36,43,"2,000,000,000"
14,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,半導體製造業,桃園,平常心,偶爾加班,59.2k,683,653,"91,558,241,760"
15,Corning_台灣康寧顯示玻璃股份有限公司,玻璃及玻璃製品製造業,臺中,平常心,偶爾加班,65.8k,197,126,"70,689,254,000"
16,長春石油化學股份有限公司,化學原料製造業,臺北,有苦說不出,偶爾加班,49.8k,84,54,"7,151,862,870"
17,友達光電股份有限公司,光學器材製造業,新竹,平常心,偶爾加班,49.6k,1094,1017,"120,000,000,000"
18,捷安特 YouBike_巨大機械工業股份有限公司,自行車及其零件製造業,臺中,平常心,偶爾加班,37.6k,73,176,"4,950,000,000"
19,力積電子股份有限公司,其他,新竹,平常心,很少加班,55.1k,20,38,"1,000,000,000"
20,華邦電子股份有限公司,IC設計相關業,臺中,平常心,偶爾加班,56.9k,197,275,"67,000,000,000"
21,大立光電股份有限公司,光學器材製造業,臺中,有苦說不出,常常加班,39.9k,183,489,"2,000,000,000"
22,寶成工業股份有限公司,鞋類製造業,彰化,平常心,偶爾加班,47.8k,364,462,"45,000,000,000"
23,TSMC_台灣積體電路製造股份有限公司（台積電）,半導體製造業,新竹,有苦說不出,常常加班,52.7k,2179,3265,"280,500,000,000"
24,裕隆集團_格上汽車租賃股份有限公司,運輸工具設備租賃業,臺北,有苦說不出,偶爾加班,37.6k,25,82,"1,500,000,000"
