,vacancies,company,post_time,job,location,month_salary,year_salary,year-end_salary,bonus,dividends,other,mood,frequency_overtime,average_day,seniority,total_seniority,work_content,advise_content
405,技術員,TOYOTA 製造商_國瑞汽車股份有限公司,2022.10.12,全職,桃園,,,,,,,有苦說不出,常常加班,9 hr,1,1,工作環境 稍為悶熱雖...,工作很累很操 雖然福...
406,生產技術員,TOYOTA 製造商_國瑞汽車股份有限公司,2022.06.29,約聘,桃園,,,,,,,有苦說不出,偶爾加班,9 hr,1,1,"裝配是還好
可是你...",我同梯的幾乎都走光了...
407,技術員,TOYOTA 製造商_國瑞汽車股份有限公司,2022.06.10,全職,桃園,,,,,,,想換工作了,偶爾加班,8 hr,1,1,工作內容單一無趣，但...,如果真的打算做一輩子...
408,技術員,TOYOTA 製造商_國瑞汽車股份有限公司,2022.05.22,全職,桃園,,,,,,,還算愉快,偶爾加班,10 hr,1,1,"工作環境還不錯
流...","福利制度都不錯
但..."
409,製程工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2022.05.22,全職,桃園,,,,,,,還算愉快,常常加班,10 hr,2,2,主要是鋪設產線，算是...,"公司制度不錯
生產..."
410,助理工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2022.04.16,全職,桃園,,,,,,,有苦說不出,偶爾加班,10 hr,2,2,toyota在台生產...,適合聽話順從一版一眼...
411,作業員,TOYOTA 製造商_國瑞汽車股份有限公司,2022.03.18,全職,桃園,,,,,,,還算愉快,常常加班,10 hr,3,3,穩定的工作及薪水，基...,如有應徵的同學，非常...
412,製程工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2022.02.15,全職,桃園,,,,,,,平常心,賣肝拼經濟,10 hr,1,1,負責自動化設備導入，...,基本上是一個向下走的...
413,系統工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2022.02.10,全職,桃園,,,,,,,還算愉快,很少加班,9 hr,11,11,很重視報告，主管希望...,先將日文考到N4或多...
414,製程工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2022.01.28,全職,桃園,,,,,,,還算愉快,偶爾加班,9 hr,13,13,就做做trouble...,畢竟是日本公司語文還...
415,副管理師,TOYOTA 製造商_國瑞汽車股份有限公司,2022.01.20,全職,桃園,,,,,,,有苦說不出,賣肝拼經濟,10 hr,3,3,人才斷層嚴重，系統繁...,1.建議起薪可以調整...
416,正職技術員,TOYOTA 製造商_國瑞汽車股份有限公司,2022.01.01,全職,桃園,,,,,,,平常心,常常加班,10 hr,3,3,工作環境為一般工廠，...,有心想進來的朋友，建...
417,生產技術員,TOYOTA 製造商_國瑞汽車股份有限公司,2021.12.13,全職,桃園,,,,,,,想換工作了,常常加班,10 hr,10,10,四到五分鐘內的工作內...,"想要輕鬆的工作內容
..."
418,製程工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2021.12.07,全職,桃園,,,,,,,平常心,偶爾加班,9 hr,3,3,標準日商文化結合台商...,來這邊需要有強大心理...
419,職員,TOYOTA 製造商_國瑞汽車股份有限公司,2021.11.15,實習,桃園,,,,,,,還算愉快,準時上下班,8 hr,1,1,工作內容大致上就只有...,這份工作不會讓你有太...
420,製程工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2021.10.29,全職,桃園,,,,,,,有苦說不出,偶爾加班,10 hr,6,6,"日商環境工作拘謹
...",進來要有學日文的興趣...
421,生產技術員,TOYOTA 製造商_國瑞汽車股份有限公司,2021.10.01,全職,桃園,,,,,,,想換工作了,常常加班,9 hr,1,1,福利已不如以往，工作...,公司開始錄用外勞，砍...
422,製程工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2021.08.05,全職,桃園,,,,,,,還算愉快,偶爾加班,9 hr,5,6,工作內容：透過TPS...,考量汽車產業未來趨勢...
423,生管工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2021.07.16,全職,桃園,,,,,,,還算愉快,很少加班,9 hr,3,3,是台灣和泰汽車與日本...,"適合喜歡穩定生活
..."
424,職員,TOYOTA 製造商_國瑞汽車股份有限公司,2021.07.01,全職,桃園,,,,,,,平常心,常常加班,9 hr,2,3,是一家日系企業主要是...,日系企業、有派系、年...
425,工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2021.06.26,全職,桃園,,,,,,,還算愉快,偶爾加班,10 hr,11,11,薪水穩定收入比上不足...,"一切都是運氣

..."
426,客服專員,TOYOTA 製造商_國瑞汽車股份有限公司,2021.06.22,約聘,新北,,,,,,,還算愉快,很少加班,8 hr,1,1,工作內容不外乎就是倒...,我認為有經驗的不要來...
427,技能員,TOYOTA 製造商_國瑞汽車股份有限公司,2021.01.11,全職,桃園,,,,,,,想換工作了,賣肝拼經濟,10 hr,7,0,賣肝常態賣自身時間換...,適合磨練但不要忘記自...
428,企約工,TOYOTA 製造商_國瑞汽車股份有限公司,2021.01.01,全職,桃園,,,,,,,平常心,偶爾加班,9 hr,1,0,"工作就生產車子
福利...",多做，多寫改善提案。...
429,工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2020.11.30,全職,桃園,,,,,,,平常心,偶爾加班,10 hr,15,0,"工作內容看長官分配,...",撐過去就是你的！！剛...
430,建教生,TOYOTA 製造商_國瑞汽車股份有限公司,2020.11.14,全職,桃園,,,,,,,平常心,偶爾加班,8 hr,1,0,因當時是建教生 其實...,如果想要近來長久待在...
431,技術員,TOYOTA 製造商_國瑞汽車股份有限公司,2020.11.04,全職,桃園,,,,,,,還算愉快,偶爾加班,8 hr,2,0,工作不算輕鬆，時間過...,要學好保護自己，不然...
432,作業員,TOYOTA 製造商_國瑞汽車股份有限公司,2020.10.14,全職,桃園,,,,,,,平常心,偶爾加班,9 hr,3,0,重複工作 沒有壓力 ...,考上正式員工 可以做...
433,作業員,TOYOTA 製造商_國瑞汽車股份有限公司,2020.10.07,全職,桃園,,,,,,,有苦說不出,很少加班,8 hr,2,0,只要你拼到正式社員基...,工作人員表示有苦難做...
434,助理管理師,TOYOTA 製造商_國瑞汽車股份有限公司,2020.08.25,全職,桃園,,,,,,,有苦說不出,偶爾加班,9 hr,2,0,福利年年遞減，但最少...,目前國產車相較進口車...
435,副工程,TOYOTA 製造商_國瑞汽車股份有限公司,2020.08.19,全職,桃園,,,,,,,平常心,常常加班,10 hr,10,0,製程跟現場互動多，事...,製程有分前端(生產技...
436,設備工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2020.08.03,全職,桃園,,,,,,,有苦說不出,賣肝拼經濟,9 hr,2,0,工作內容算多元，但有...,專業技能不專精，尚未...
437,工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2020.07.22,全職,桃園,,,,,,,平常心,常常加班,10 hr,1,0,汽車的中心廠，要規劃...,公司很多老人，年輕人...
438,設備維修,TOYOTA 製造商_國瑞汽車股份有限公司,2020.06.15,全職,桃園,,,,,,,還算愉快,常常加班,10 hr,1,0,機台保養維修故障排除...,基本上假日大都要加班...
439,理貨員,TOYOTA 製造商_國瑞汽車股份有限公司,2020.03.12,全職,桃園,,,,,,,有苦說不出,很少加班,8 hr,1,0,快速的工作速度，兩個...,真的認為自己超耐操就...
440,物流管理,TOYOTA 製造商_國瑞汽車股份有限公司,2020.02.18,全職,桃園,,,,,,,想換工作了,常常加班,9 hr,5,0,工作項目就是物流的投...,如果只是想賺錢的話沒...
441,管理師,TOYOTA 製造商_國瑞汽車股份有限公司,2019.11.29,全職,桃園,,,,,,,平常心,偶爾加班,9 hr,12,0,要習慣日本式的決策，...,如果要快速升遷，個人...
442,作業員,TOYOTA 製造商_國瑞汽車股份有限公司,2019.11.15,全職,桃園,,,,,,,平常心,常常加班,8 hr,1,0,工作滿愉快，因為我說...,因為日商關係，有前輩...
443,裝配,TOYOTA 製造商_國瑞汽車股份有限公司,2019.09.26,全職,桃園,,,,,,,有苦說不出,常常加班,8 hr,2,0,因為還是契約，要很耐...,轉正職不容易，同工不...
444,作業員,TOYOTA 製造商_國瑞汽車股份有限公司,2019.08.24,全職,桃園,,,,,,,想換工作了,偶爾加班,9 hr,5,0,工作內容需非常耐操 ...,裝配不是人幹的 正職...
445,採購工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2019.08.02,全職,桃園,,,,,,,有苦說不出,常常加班,9 hr,4,0,政治力太強，常態加班...,這家公司幾乎都是內推...
446,生技工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2019.07.13,全職,桃園,,,,,,,還算愉快,很少加班,9 hr,10,0,接近日商，福利待遇佳...,語文能力要加強，日商...
447,設備維修工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2019.04.13,全職,桃園,,,,,,,有苦說不出,賣肝拼經濟,10 hr,7,0,"設備維修工作不難
但...","想爆肝的可以參考
待..."
448,工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2019.02.14,全職,桃園,,,,,,,平常心,常常加班,2 hr,8,0,"標準日系公司,有去日...",基本上是跟著指導者邊...
454,品保,TOYOTA 製造商_國瑞汽車股份有限公司,2018.07.12,全職,桃園,,,,,,,有苦說不出,偶爾加班,-,1,0,公司福利不錯 適合想...,
456,操作人員,TOYOTA 製造商_國瑞汽車股份有限公司,2018.06.17,全職,桃園,,,,,,,有苦說不出,賣肝拼經濟,-,1,0,待遇薪水讓我平時賺少...,
467,塗裝課,TOYOTA 製造商_國瑞汽車股份有限公司,2017.04.14,全職,桃園,,,,,,,想換工作了,偶爾加班,-,1,0,不錯的工作。但要升正...,
469,製造部,TOYOTA 製造商_國瑞汽車股份有限公司,2017.02.24,全職,桃園,,,,,,,想換工作了,常常加班,-,12,0,薪水待遇好...,
472,期間社員,TOYOTA 製造商_國瑞汽車股份有限公司,2016.10.07,全職,桃園,,,,,,,有苦說不出,常常加班,-,1,0,取消正職考試制度...,
477,技術員,台灣本田汽車股份有限公司,2023.02.24,全職,屏東,,,,,,,平常心,很少加班,8 hr,3,15,"生產線工作
裡面得...",建議手腳慢的人不要來...
478,專員,台灣本田汽車股份有限公司,2022.05.30,全職,臺北,,,,,,,平常心,偶爾加班,9 hr,1,1,彈性上下班，辦公室算...,我建議想要來試試經驗...
479,職員,台灣本田汽車股份有限公司,2022.01.24,派遣,桃園,,,,,,,還算愉快,很少加班,7 hr,4,7,每日訂單整理並按照訂...,工作很累，但同僚不錯...
480,專員(總公司，非門市),台灣本田汽車股份有限公司,2021.11.30,全職,屏東,,,,,,,還算愉快,偶爾加班,8 hr,2,6,1.新鮮人最佳練功地...,老鳥很願意帶人，主管...
481,PM,台灣本田汽車股份有限公司,2021.07.06,全職,臺北,,,,,,,還算愉快,偶爾加班,8 hr,4,4,"汽車導入及產品策略
...",如果很喜歡汽車，並且...
482,企劃,台灣本田汽車股份有限公司,2021.01.01,全職,臺北,,,,,,,還算愉快,很少加班,9 hr,6,0,剛開始進入這間公司要...,最好需要會開車因為常...
483,專員,台灣本田汽車股份有限公司,2020.12.25,全職,臺北,,,,,,,平常心,偶爾加班,8 hr,1,0,辦公地點交通便利，辦...,對汽車產業有興趣，可...
484,零件採購人員,台灣本田汽車股份有限公司,2020.09.26,全職,臺北,,,,,,,平常心,偶爾加班,9 hr,1,0,1、零件採購需求預測...,須對汽車零件和汽車相...
485,作業員,台灣本田汽車股份有限公司,2019.12.30,全職,屏東,,,,,,,有苦說不出,很少加班,8 hr,1,0,每天有固定的生產數量...,進去大部分都是從派遣...
486,產線技術員,台灣本田汽車股份有限公司,2019.08.17,全職,屏東,,,,,,,平常心,偶爾加班,8 hr,1,0,輪兩班制，是個勞動的...,薪水真的不多，且要撐...
487,半技師,台灣本田汽車股份有限公司,2019.05.17,全職,臺北,,,,,,,想換工作了,很少加班,8 hr,4,0,剛進去了話，廠長開2...,要進去車界，如果是要...
489,研修/專員,台灣本田汽車股份有限公司,2018.01.23,全職,臺北,,,,,,,有苦說不出,常常加班,-,1,0,可以當新手村的跳板。...,
493,廠長室/特助,成運汽車製造股份有限公司,2018.01.21,全職,屏東,,,,,,,還算愉快,很少加班,-,1,0,很大進步空間...,
494,職員,華德動能科技股份有限公司,2022.02.25,全職,桃園,,,,,,,還算愉快,很少加班,8 hr,2,4,工作環境是鐵皮工廠，...,那時候剛畢業沒多久，...
495,工程師,華德動能科技股份有限公司,2021.07.29,全職,桃園,,,,,,,想換工作了,賣肝拼經濟,10 hr,2,10,1.除了壓榨還是壓榨...,凡是靠自己就對了，有...
496,專員,華德動能科技股份有限公司,2021.06.24,全職,桃園,,,,,,,有苦說不出,準時上下班,8 hr,1,1,負責處理部門的的相關...,公司流動率算滿高的，...
497,財務,華德動能科技股份有限公司,2020.09.10,全職,臺北,,,,,,,平常心,常常加班,9 hr,3,0,工作在台北辦公室蠻愉...,就不要有太多的想法就...
498,機構工程師,華德動能科技股份有限公司,2020.09.05,全職,桃園,,,,,,,平常心,偶爾加班,9 hr,1,0,工作環境很傳產 有打...,雖然目前公司虧錢，可...
499,機構工程師,華德動能科技股份有限公司,2020.06.10,全職,桃園,,,,,,,平常心,常常加班,9 hr,1,0,除了繪圖還是繪圖，工...,很傳統的一間汽車製造...
500,工程師,華德動能科技股份有限公司,2019.11.24,全職,桃園,,,,,,,想換工作了,常常加班,8 hr,1,0,"寫sop,現場處理東...",想養老就去吧， 工作...
501,採購,華德動能科技股份有限公司,2019.10.22,全職,桃園,,,,,,,有苦說不出,準時上下班,8 hr,1,0,正常上下班，三節生日...,後由車王電接手，許多...
504,工程師,鴻華先進科技股份有限公司,2023.04.09,全職,新北,,,,,,,想換工作了,賣肝拼經濟,9 hr,2,2,分析車體結構，對於鈑...,除了分析車體結構外 ...
505,職員,鴻華先進科技股份有限公司,2023.01.18,全職,臺北,51-52k,710-720k,51k,51k,,,還算愉快,偶爾加班,9 hr,1,1,"主要做整車熱流分析
主要對於汽車設計還是要有一定的概念與理解
並需要對模擬分享軟體有一定的了解
這邊似乎比較常使用Star CCM進行分析
若已往分析是採用Ansys的人需要適應一下","公司狀況目前比較混亂，
未來希望等到新車上市量產後，
公司能夠逐漸穩定下來。
對於底薪的部分希望能夠調高，
由低底薪高績效的給薪機制轉為
高底薪低績效的給薪方式，
即：即便年薪相當，但提高底薪對於員工而言會內心比較踏實"
506,工程師,鴻華先進科技股份有限公司,2023.01.08,全職,新北,,,,,,,想換工作了,很少加班,12 hr,1,16,負責分析車體公差與零...,想來的這不是科技業，...
507,品質工程師,鴻華先進科技股份有限公司,2022.11.03,全職,新北,,,,,,,平常心,偶爾加班,9 hr,5,10,大公司有公司流程，同...,建議有工作經驗，有歷...
508,專員,鴻華先進科技股份有限公司,2022.07.09,全職,新北,,,,,,,想換工作了,很少加班,8 hr,1,1,"剛開始進去的時候, ...",因為這邊給得並不是很...
509,CAE工程師,鴻華先進科技股份有限公司,2022.05.25,全職,新北,,,,,,,還算愉快,很少加班,8 hr,1,5,CFD模擬，評估結果...,是一家台灣整車研發有...
510,高級工程師,鴻華先進科技股份有限公司,2022.05.02,全職,新北,,,,,,,還算愉快,很少加班,8 hr,15,15,工作內容跟加班程度各...,建議對車輛有愛好者再...
511,專員,鴻華先進科技股份有限公司,2022.01.05,全職,新北,,,,,,,平常心,準時上下班,8 hr,14,14,"工作內容
產品企劃...",台灣唯一可以接觸到整...
512,工程師,鴻華先進科技股份有限公司,2021.06.25,全職,新北,,,,,,,有苦說不出,準時上下班,8 hr,3,7,工作內容上手還算輕鬆...,薪水對新人來說還過得...
513,暑期工讀,為升電裝工業股份有限公司,2023.02.24,全職,彰化,,,,,,,還算愉快,很少加班,8 hr,1,1,工作環境是無塵室非常...,工作基本上非常單純，...
514,作業員,為升電裝工業股份有限公司,2023.02.02,全職,彰化,,,,,,,還算愉快,很少加班,8 hr,1,1,生產線內必須穿著防塵...,我覺得算是一個很好的...
515,生產技術員,為升電裝工業股份有限公司,2022.10.03,全職,彰化,,,,,,,還算愉快,很少加班,8 hr,1,6,Gen4產品組裝及裝...,福利制度在彰化縣上算...
516,演算法工程師,為升電裝工業股份有限公司,2022.08.25,全職,新竹,,,,,,,還算愉快,很少加班,9 hr,3,4,"開發雷達演算法, 用...",是用 matlab ...
517,設備工程師,為升電裝工業股份有限公司,2022.07.27,全職,彰化,,,,,,,想換工作了,賣肝拼經濟,10 hr,3,8,公司有分兩棟(A跟C...,"我建議是別來
主因..."
518,資深課長,為升電裝工業股份有限公司,2022.07.21,全職,彰化,,,,,,,平常心,常常加班,10 hr,8,12,產品從開發移轉到工廠...,近兩年新進人員底薪有...
519,自動化工程師,為升電裝工業股份有限公司,2022.07.20,全職,彰化,,,,,,,有苦說不出,偶爾加班,8 hr,4,5,"工作內容的部分
會...",間接人員調薪困難 會...
520,設備工程師,為升電裝工業股份有限公司,2022.07.15,全職,彰化,,,,,,,平常心,很少加班,8 hr,3,3,"我不是在電裝大樓的
...",我真心勸有志向的年輕...
521,製程工程師,為升電裝工業股份有限公司,2022.03.30,全職,彰化,,,,,,,還算愉快,很少加班,9 hr,2,7,基本上自由度算蠻高的...,電子相關的背景在工作...
522,品保人員,為升電裝工業股份有限公司,2022.03.29,全職,彰化,,,,,,,平常心,偶爾加班,9 hr,1,12,是間很漂亮氣派的公司...,基本的福利在彰化來說...
523,IE工程師,為升電裝工業股份有限公司,2022.03.13,全職,彰化,,,,,,,還算愉快,很少加班,8 hr,3,3,生產線工時量測、標準...,這邊歸屬於工程部底下...
524,採購管理師,為升電裝工業股份有限公司,2022.02.18,全職,彰化,,,,,,,還算愉快,偶爾加班,10 hr,3,7,公司薪資算中等，但不...,整體而言，還不錯，因...
525,國外業務,為升電裝工業股份有限公司,2022.02.18,全職,彰化,,,,,,,還算愉快,偶爾加班,9 hr,1,3,去的部門是一個剛起步...,建議以平常心看待，業...
526,職員,為升電裝工業股份有限公司,2021.11.08,全職,彰化,,,,,,,有苦說不出,賣肝拼經濟,8 hr,1,1,環境單純冷氣廠房工作...,一個辦公室人數比生產...
527,工程師,為升電裝工業股份有限公司,2021.11.02,全職,彰化,,,,,,,還算愉快,準時上下班,8 hr,1,5,工作只要會SAP基本...,建議如果有SAP背景...
528,品保工程師,為升電裝工業股份有限公司,2021.10.18,全職,彰化,,,,,,,還算愉快,很少加班,9 hr,2,2,客訴對應、處理及報告...,制度僵化，各部門工作...
529,產品PM,為升電裝工業股份有限公司,2021.10.05,全職,彰化,,,,,,,有苦說不出,偶爾加班,9 hr,2,5,職場政治嚴重，需要懂...,來這裏學習職場相處之...
530,專案規劃職員,為升電裝工業股份有限公司,2021.09.25,全職,彰化,,,,,,,還算愉快,準時上下班,8 hr,2,4,"產品規劃
與客戶還...",對於車用產品有興趣建...
531,高級工程師,為升電裝工業股份有限公司,2021.09.16,全職,彰化,,,,,,,還算愉快,很少加班,8 hr,3,15,工作環境尚可，下班時...,同事普遍好相處，公司...
532,管理師,為升電裝工業股份有限公司,2021.07.02,全職,彰化,,,,,,,還算愉快,偶爾加班,9 hr,1,1,依訂單進行生產計畫的...,無明確的管理辦法，導...
533,專案管理師,為升電裝工業股份有限公司,2021.06.11,全職,彰化,,,,,,,有苦說不出,常常加班,9 hr,2,5,公司流程混亂，朝令夕...,傳產公司。裡面思想很...
534,採購管理師,為升電裝工業股份有限公司,2021.02.19,全職,彰化,,,,,,,想換工作了,常常加班,9 hr,1,0,公司福利普通，該有的...,雖然是上市上櫃，但裡...
535,品保資深工程師,為升電裝工業股份有限公司,2021.01.28,全職,彰化,,,,,,,平常心,偶爾加班,10 hr,2,0,老董出貨優先，其他都...,外面的想進來，裡面的...
536,業務管理師,為升電裝工業股份有限公司,2021.01.04,全職,彰化,,,,,,,想換工作了,偶爾加班,9 hr,1,0,可能因當時在一個剛創...,中部傳統產業，薪資在...
537,會計,為升電裝工業股份有限公司,2020.09.23,全職,彰化,,,,,,,平常心,常常加班,8 hr,1,0,其實福利不錯，辦公室...,公司蠻新的，同事也蠻...
538,作業員,為升電裝工業股份有限公司,2020.08.13,全職,彰化,,,,,,,平常心,偶爾加班,8 hr,2,0,顧機台上下料檢查產品...,福利在彰化算好的，但...
539,工程師,為升電裝工業股份有限公司,2020.07.21,全職,彰化,,,,,,,平常心,偶爾加班,8 hr,4,0,"車用電裝品的開發,著...",可以練練功.把實力累...
540,機構工程師,為升電裝工業股份有限公司,2020.03.22,全職,彰化,,,,,,,有苦說不出,準時上下班,8 hr,4,0,"完成主管交待事務,業...","不好也不壞,就像前面..."
541,硬體研發工程師,為升電裝工業股份有限公司,2020.01.15,全職,彰化,,,,,,,有苦說不出,常常加班,9 hr,13,0,無完善的升遷制度，同...,錄取的新人薪資均高於...
542,管理師,為升電裝工業股份有限公司,2019.07.13,全職,彰化,,,,,,,有苦說不出,準時上下班,8 hr,1,0,每年有紅利獎金......,不要去行政部門/研發...
549,良率提升工程師,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,2023.05.08,全職,臺中,,,,,,,平常心,準時上下班,8 hr,3,3,工作內容主要是每天看...,美光加薪就真的比較呵...
550,製程工程師,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,2023.05.02,全職,臺中,,,,,,,有苦說不出,常常加班,9 hr,5,5,"封裝廠新產品工程師,...","底薪在中部算不錯,獎..."
551,暑期實習生,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,2023.04.28,實習,臺中,,,,,,,還算愉快,準時上下班,8 hr,1,1,工作輕鬆大部分都沒有...,面試可以先準備中英文...
552,廠務工程師,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,2023.04.27,全職,桃園,,,,,,,平常心,偶爾加班,9 hr,1,4,廠內營建相關的業務，...,最近公司虧錢，福利說...
553,職員,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,2023.04.21,派遣,新北,,,,,,,平常心,常常加班,15 hr,1,3,管理產線，一堆外籍移...,抱著輪班星人的準備，...
554,廠務工程師,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,2023.04.20,實習,臺中,,,,,,,還算愉快,很少加班,8 hr,1,1,2022年7月在美光...,想實習的話我是很推薦...
555,設備工程師,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,2023.04.16,全職,桃園,60-61k,840-850k,120k,,,,有苦說不出,偶爾加班,10 hr,3,3,"資深設備大部分都是常日班
工作內容:每天寫報告,比誰寫的厲害,上面的各種KPI,做假的也要生出來,指派不少沒意義的動作給值班做,就為了能下台
資歷輕的都大部分都是輪班
工作內容:每天一成不變的保養修機,被常日班學長當擋箭牌,做得好是應該,多做或是怎麼沒提早發現就是不應該, 很多CASE都是事後論,要想辦法通靈","常常舉辦有的沒的活動,只有常日班的享受的到,值班人員修機都來不及了,還要看部門參與率,坐辦公室的完全不知道值班人員的忙
公司賺錢分紅照標準給,甚至少給,沒賺錢直接砍光光"
556,助理工程師,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,2023.03.16,全職,臺中,54-55k,820-830k,170k,6000,,,平常心,很少加班,12 hr,5,7,"這薪水是後段助工，平日的保修改之外
偶爾修機要出報告，在裡面做人比做事重要
公司整體福利在台中算不錯 23年宣布不調薪也不發IPP(獎金）","有能力的話請去前段
後段MTB就是俗稱的山口后里廠
如果能很適應台廠文化的就當我沒說了"
557,軟體工程師,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,2023.03.14,全職,桃園,68-69k,1120-1130k,136k,,150k,24k,還算愉快,常常加班,10 hr,2,8,"1. 採取scrum方式開發，但除了小組共同完成的工作外，還有針對個人的項目要完成
2. 有些主管扭曲了敏捷的概念，工作亂分配，有些非自己處理的項目也會被問，問了不知道會被責怪
3. 即使花了一堆時間處理很多不同種類的事情，但最後也不會被認可，只有主管在乎的事情被處理你才會被認可，值得警惕的是那些不被在乎的事情如果最後你沒做好，一樣會受到負評 ^^","缺點
不建議想練技術的來這邊，技術練不到，花很多時間在非技術相關上，一堆規則要走，但又被限制東限制西。

雖然部門分得很細，有SRE、Devops、QA部門，但通通都要developer指引方向、設計如何測試、如何release system的work flow。

優點
上班不看打卡、每周兩天WFH、資遣費很高"
558,SQA,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,2023.03.13,全職,臺中,62-63k,880-890k,135k,,,,平常心,很少加班,8 hr,1,3,"要想test plan, 剛開始進去會有training, 所以還蠻多時間可以學習，福利和薪資就是固定的，薪資分成三種等級：純血學碩/混血學碩/一般這樣。

軟體相關的幾乎不用加班，所以還算是蠻可以養老的地方，只是地點比較無聊。",如果很愛寫程式的，在這裡寫測試會覺得沒有什麼成就感，還是建議往開發走，但如果對於程式的熱愛還好，想求一份穩定，可以選擇做QA。
559,製程工程師,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,2023.03.05,全職,臺中,63-64k,960-970k,50k,10k,3000,150k,還算愉快,很少加班,9 hr,1,1,工作環境與氛圍其實都不錯，主動且有禮貌的詢問，學長姐都很願意教。工作內容不外乎線上issue解決、找出root cause做改善等等，餐費雖然砍半了，但也比沒有好，只能先將就一下，加班的部分目前沒辦法報加班費，所以公司鼓勵盡量準時走。,新人如果能去前段，千萬不要去後段，那邊的政治很亂，基本上注重關係背景遠大於實質能力，沒做什麼事也會有人罩你，相反則無。性別雖因應公司政策，也是女性優先。
560,Data Scientist,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,2023.02.26,全職,桃園,82-83k,1350-1360k,164k,,205k,,平常心,偶爾加班,9 hr,3,3,"資料科學部門在美光是一個很大的部門, 團隊成員來自世界各地, 幾乎一起合作的成員都不會講中文, 所以必須有流暢的英語能力, 建議先確定自己能夠適應不同國家的人的英語口音再應徵. 工作內容以開發機器學習及深度學習演算法為主. 但是資料科學在美光算是紮根不深, 所以上面的老闆(包括基層帶人主管)基本上並不懂AI領域. 但是老闆彈性給得很足, 有任何想做的方向都可以討論","美光不是軟體公司, 是硬體公司, 而且美其名是一間外商, 本質上就是瑞晶留下來的老人在管事, 基本上就是一間台商. 想進外商的各位要好好考慮. 新人拿來練練手沒有問題, 有資歷的人就自己考慮吧"
561,助理工程師,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,2023.02.19,全職,臺中,48-49k,780-790k,84k,,120k,,還算愉快,準時上下班,10 hr,3,12,"每日工作10小時負責機台PM與簡易維修
環境優越待遇良好餐廳伙食選擇多~上班無須打卡
競爭壓力大~每年有淘汰制度
新廠設施優良",與同事相處比工作能力重要~上班較其他公司自由度高~但壓力大~出事需向上級回報~寫工作日誌+報告
562,製程,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,2023.02.19,全職,臺中,62-63k,930-940k,187k,,,,平常心,常常加班,9 hr,2,2,工作性質是維護產線，較難有成就感，工作步調快，需跟設備、製造部門打好關係會比較好做事，常常需應付HL心會有點累，進行專案的流程冗長繁雜，除了要填表格送單申請，沒填過沒人教真的不知道怎麼做，花很多時間在這種瑣事上，專案的進行也要找製程整合的人來評估（有時候會遇到人很難找或不同人標準不ㄧ的狀況）,顧的機台好不好很吃運氣，撈data做報告的速度要練，剛開始會有mentor制度還不錯，此外要找到調適壓力的管道很重要
