,vacancies,company,post_time,job,location,month_salary,year_salary,year-end_salary,bonus,dividends,other,mood,frequency_overtime,average_day,seniority,total_seniority,work_content,advise_content
32,品檢技術員,裕隆集團_裕隆汽車製造股份有限公司,2022.11.23,全職,苗栗,31-32k,560-570k,150k,40k,,,有苦說不出,很少加班,9 hr,8,10,組車零件進料檢出，關係企業供應商不好搞，常搬出集團的長官壓你，廠商送來零件沒有在出貨檢卻要你在公司內去做進料檢，然後檢驗零件還跟你玩充實度，檢驗多少零件花多少時間(算到秒連上廁所時間都沒給你)。,傳產薪資待遇，科技業不人性管理，除了苗栗三義、銅鑼附近的人推薦，其他要三思，學車廠經驗OK不宜久待，廠房設備都20~30年，集團已經沒心投資未來可能會走向全面進口代理路線。
33,製程工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.09.20,全職,苗栗,,,,,,,想換工作了,常常加班,10 hr,1,6,"工程師做PM的工作,...",公司架構無產銷人發財...
34,銷售員,裕隆集團_裕隆汽車製造股份有限公司,2022.09.01,全職,臺北,,,,,,,平常心,很少加班,8 hr,1,1,在信義區的汽車銷售中...,對汽車銷售有興趣的可...
35,工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.08.31,全職,苗栗,,,,,,,平常心,常常加班,9 hr,3,6,裕隆汽車本質就是代工...,年輕人不要來，這裡沒...
36,設備開發,裕隆集團_裕隆汽車製造股份有限公司,2022.08.17,全職,苗栗,,,,,,,平常心,常常加班,9 hr,3,3,工作環境依不同廠區會...,面試要考英文~需要高...
37,研發技術軟體工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.08.04,全職,苗栗,,,,,,,還算愉快,常常加班,9 hr,1,2,"醫材研發
機構控制...","工作環境不太優
工..."
38,工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.07.21,全職,苗栗,,,,,,,還算愉快,很少加班,8 hr,1,1,工作還算輕鬆，整年大...,與主管間的關係要維持...
39,製程改善工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.07.19,全職,苗栗,,,,,,,想換工作了,準時上下班,8 hr,1,5,"自己找課題
出事自...","混日子可以
想學東..."
40,製程工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.07.18,全職,苗栗,,,,,,,還算愉快,很少加班,9 hr,1,5,負責引擎生產的製程改...,"很台商
要很會做報..."
41,品保工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.05.29,全職,苗栗,,,,,,,有苦說不出,常常加班,10 hr,10,10,任何跟車輛品質相關異...,近幾年裕隆轉變很大....
42,生技工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.05.22,全職,苗栗,,,,,,,想換工作了,很少加班,8 hr,1,3,生技分三個部門 動力...,年薪不錯 基本上有1...
43,生技工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.05.13,全職,苗栗,,,,,,,想換工作了,很少加班,8 hr,1,3,傳產環境 公司整個是...,不太適合年輕人吧 整...
44,管理師,裕隆集團_裕隆汽車製造股份有限公司,2022.05.09,全職,苗栗,,,,,,,還算愉快,很少加班,8 hr,2,4,"辦公室老舊
開放式...","同事很多老人
氣氛..."
45,品保工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.04.27,全職,苗栗,,,,,,,有苦說不出,常常加班,9 hr,6,11,公司發展很多新事業但...,進來會做人比會做事更...
46,補給員,裕隆集團_裕隆汽車製造股份有限公司,2022.04.10,全職,苗栗,,,,,,,想換工作了,準時上下班,8 hr,2,2,"工作內容很看單位喔
...",工作內容大致上沒什麼...
47,行政助理,裕隆集團_裕隆汽車製造股份有限公司,2022.04.07,派遣,苗栗,,,,,,,平常心,很少加班,8 hr,1,1,工作內容：不外乎一般...,如果是剛畢業的新鮮人...
48,製程工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.01.04,全職,苗栗,,,,,,,想換工作了,常常加班,10 hr,2,2,1. 工作內容: 針...,"優點:
1. 步調..."
49,審查員,裕隆集團_裕隆汽車製造股份有限公司,2021.12.09,全職,高雄,,,,,,,想換工作了,常常加班,10 hr,1,1,工作內容就是不斷打電...,如果自己真的很缺錢可...
50,工程師,裕隆集團_裕隆汽車製造股份有限公司,2021.11.26,全職,苗栗,,,,,,,還算愉快,很少加班,8 hr,1,1,福利不錯，工作穩定且...,準備面試前細心了解自...
51,設備工程師,裕隆集團_裕隆汽車製造股份有限公司,2021.11.11,全職,苗栗,,,,,,,想換工作了,偶爾加班,9 hr,8,10,學不到什麼專業，薪水...,工時不算很長，薪水不...
52,工程師,裕隆集團_裕隆汽車製造股份有限公司,2021.10.19,全職,苗栗,,,,,,,想換工作了,常常加班,11 hr,1,1,主要工作內容：各種量...,對於在職場上打滾過的...
53,採購工程師,裕隆集團_裕隆汽車製造股份有限公司,2021.08.27,全職,苗栗,,,,,,,平常心,常常加班,9 hr,1,1,工作項目一為負責納智...,畢竟國產車市場在萎縮...
54,車輛底盤開發工程師,裕隆集團_裕隆汽車製造股份有限公司,2021.08.19,全職,苗栗,,,,,,,平常心,常常加班,9 hr,1,3,原以為是負責底盤設計...,若是真的想學車輛設計...
55,製程工程師,裕隆集團_裕隆汽車製造股份有限公司,2021.08.09,全職,苗栗,,,,,,,有苦說不出,常常加班,9 hr,3,3,工作項目涵蓋直材間材...,擅長寫報告的人非常適...
56,業務代表,裕隆集團_裕隆汽車製造股份有限公司,2021.08.05,全職,新北,,,,,,,想換工作了,賣肝拼經濟,12 hr,5,5,工作內容：介紹車款以...,工時非常的長，要有心...
57,設備開發工程師,裕隆集團_裕隆汽車製造股份有限公司,2021.07.25,全職,苗栗,,,,,,,有苦說不出,常常加班,10 hr,3,9,"公司福利尚可 , 但...",裕隆就是一間很典型的...
58,製造部作業員,裕隆集團_裕隆汽車製造股份有限公司,2021.07.22,全職,苗栗,,,,,,,平常心,偶爾加班,8 hr,4,4,移動式產線作業，有一...,需要非常耐操型的人，...
59,生物管工程師,裕隆集團_裕隆汽車製造股份有限公司,2021.07.16,全職,苗栗,,,,,,,有苦說不出,常常加班,10 hr,3,6,"公司內部老化, 很少...","如果是新鮮人, 也喜..."
60,工程師,裕隆集團_裕隆汽車製造股份有限公司,2021.06.25,全職,苗栗,,,,,,,有苦說不出,常常加班,9 hr,2,5,寫不完的報告開不完的...,喜歡開會還有被羞辱的...
61,車身工程師,裕隆集團_裕隆汽車製造股份有限公司,2021.06.17,全職,苗栗,,,,,,,有苦說不出,常常加班,10 hr,1,6,生產技術部是工時最長...,基本上線上所有的員工...
62,IE工程師,裕隆集團_裕隆汽車製造股份有限公司,2021.05.22,全職,苗栗,,,,,,,還算愉快,很少加班,9 hr,1,3,1. 三義工廠廠區非...,1.薪水比較沒有成長...
63,生技工程師,裕隆集團_裕隆汽車製造股份有限公司,2021.05.19,全職,苗栗,,,,,,,想換工作了,很少加班,8 hr,1,3,公司沒有設計 算是汽...,養老的公司 官僚 學...
64,管理師,裕隆集團_裕隆汽車製造股份有限公司,2021.05.13,全職,苗栗,,,,,,,還算愉快,很少加班,9 hr,1,1,"有教育訓練
內部辦...",樂意接受新鮮人，可提...
65,品保工程師,裕隆集團_裕隆汽車製造股份有限公司,2021.04.26,全職,苗栗,,,,,,,平常心,常常加班,10 hr,8,8,常態加班，主管會以加...,薪資待遇不錯但每年離...
