,vacancies,company,post_time,job,location,month_salary,year_salary,year-end_salary,bonus,dividends,other,mood,frequency_overtime,average_day,seniority,total_seniority,work_content,advise_content
10,機構工程師,中華汽車工業股份有限公司,2022.11.28,全職,桃園,38-39k,530-540k,76k,,,,還算愉快,很少加班,10 hr,1,2,"平常就是畫畫圖，做做報告
工作環境優，公司一直有在改善環境
各項福利也不錯，教育訓練也很完善
整體而言還算不錯，部門很多，很多情況各部門都不一樣，還是要看運氣",公司的教育訓練體制很完善，員工餐廳東西不錯吃，整體公司很穩定，追求養老可以來試試看，但傳產步調較慢，想很快發光發熱的類型可能要斟酌一下
11,零件工程師,中華汽車工業股份有限公司,2022.11.07,全職,桃園,40-41k,700-710k,120k,40k,60k,,想換工作了,常常加班,9 hr,2,2,"服務部工作loading非常大
組織編制上人力太少，又負擔太多業務。
新增MG專案，新系統導入，數位轉型等等。
工作一直增加但是人力卻不斷減少。
零件冊資料因人力不足也無法妥善，但又不補人，導致經銷商不斷打電話詢問，更加無法有時間做零件冊，惡性循環。","中華汽車是一間非常老的公司，內部有一定的制度跟福利，在整體汽車產業不算差。
但是問題近年來一直不斷降低成本，將一些福利刪除，或是用另類的手段讓你看的到吃不到。建議若有人想去中華汽車盡量不要選服務部。"
12,管理師,TOYOTA 製造商_國瑞汽車股份有限公司,2023.03.01,全職,桃園,37-38k,700-710k,,,,,平常心,很少加班,8 hr,1,3,"主要工作內容是對內生產製造的專案管理，負責蒐集資料以及企劃，有時須對應外包廠商
工作時間每天大概8~9小時，可以報加班費(以1.5倍計算)
蠻常需要做報告，如果是對較高層主管，都是用日文，對內大都也是日文(包含會議)","福利中上的公司，月薪較低，但只要有賺錢，年終都是5個月起跳，加上三節以及年中的分紅，年薪一定18個月以上，三節除了現金外，還有很多禮券。
但這是一間非常高齡化的公司，如果是年輕人進來，確實要想看看自己是否能與很多老人一起工作，每次升遷調整薪水蠻多的，但不好升上去(好一點大概3~5年有機會升一次，最壞的狀況20年才升一次...)，因為日商是前輩優先升遷，並非優秀的人先，簡單來說就是傳產+日商。"
13,作業員,TOYOTA 製造商_國瑞汽車股份有限公司,2023.02.09,全職,桃園,30-31k,360-370k,,,,,非常開心,偶爾加班,10 hr,1,10,"在塗裝部門，主管人很好
可能是我待的單位人都不錯
雖然事傳統產業，但環境乾淨
雖然有空調，但因為要穿潔淨衣服工作，多少還是會流汗😅
只要肯待，福利自然不在話下….要能熬
我是因為有經濟壓力，看單位加班所以才離職！",來這邊工作心態要調整好，因為是純日商公司，所以一切都照日本規則走！
14,職員,鴻華先進科技股份有限公司,2023.01.18,全職,臺北,51-52k,710-720k,51k,51k,,,還算愉快,偶爾加班,9 hr,1,1,"主要做整車熱流分析
主要對於汽車設計還是要有一定的概念與理解
並需要對模擬分享軟體有一定的了解
這邊似乎比較常使用Star CCM進行分析
若已往分析是採用Ansys的人需要適應一下","公司狀況目前比較混亂，
未來希望等到新車上市量產後，
公司能夠逐漸穩定下來。
對於底薪的部分希望能夠調高，
由低底薪高績效的給薪機制轉為
高底薪低績效的給薪方式，
即：即便年薪相當，但提高底薪對於員工而言會內心比較踏實"
15,設備工程師,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,2023.04.16,全職,桃園,60-61k,840-850k,120k,,,,有苦說不出,偶爾加班,10 hr,3,3,"資深設備大部分都是常日班
工作內容:每天寫報告,比誰寫的厲害,上面的各種KPI,做假的也要生出來,指派不少沒意義的動作給值班做,就為了能下台
資歷輕的都大部分都是輪班
工作內容:每天一成不變的保養修機,被常日班學長當擋箭牌,做得好是應該,多做或是怎麼沒提早發現就是不應該, 很多CASE都是事後論,要想辦法通靈","常常舉辦有的沒的活動,只有常日班的享受的到,值班人員修機都來不及了,還要看部門參與率,坐辦公室的完全不知道值班人員的忙
公司賺錢分紅照標準給,甚至少給,沒賺錢直接砍光光"
16,助理工程師,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,2023.03.16,全職,臺中,54-55k,820-830k,170k,6000,,,平常心,很少加班,12 hr,5,7,"這薪水是後段助工，平日的保修改之外
偶爾修機要出報告，在裡面做人比做事重要
公司整體福利在台中算不錯 23年宣布不調薪也不發IPP(獎金）","有能力的話請去前段
後段MTB就是俗稱的山口后里廠
如果能很適應台廠文化的就當我沒說了"
17,軟體工程師,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,2023.03.14,全職,桃園,68-69k,1120-1130k,136k,,150k,24k,還算愉快,常常加班,10 hr,2,8,"1. 採取scrum方式開發，但除了小組共同完成的工作外，還有針對個人的項目要完成
2. 有些主管扭曲了敏捷的概念，工作亂分配，有些非自己處理的項目也會被問，問了不知道會被責怪
3. 即使花了一堆時間處理很多不同種類的事情，但最後也不會被認可，只有主管在乎的事情被處理你才會被認可，值得警惕的是那些不被在乎的事情如果最後你沒做好，一樣會受到負評 ^^","缺點
不建議想練技術的來這邊，技術練不到，花很多時間在非技術相關上，一堆規則要走，但又被限制東限制西。

雖然部門分得很細，有SRE、Devops、QA部門，但通通都要developer指引方向、設計如何測試、如何release system的work flow。

優點
上班不看打卡、每周兩天WFH、資遣費很高"
18,SQA,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,2023.03.13,全職,臺中,62-63k,880-890k,135k,,,,平常心,很少加班,8 hr,1,3,"要想test plan, 剛開始進去會有training, 所以還蠻多時間可以學習，福利和薪資就是固定的，薪資分成三種等級：純血學碩/混血學碩/一般這樣。

軟體相關的幾乎不用加班，所以還算是蠻可以養老的地方，只是地點比較無聊。",如果很愛寫程式的，在這裡寫測試會覺得沒有什麼成就感，還是建議往開發走，但如果對於程式的熱愛還好，想求一份穩定，可以選擇做QA。
19,製程工程師,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,2023.03.05,全職,臺中,63-64k,960-970k,50k,10k,3000,150k,還算愉快,很少加班,9 hr,1,1,工作環境與氛圍其實都不錯，主動且有禮貌的詢問，學長姐都很願意教。工作內容不外乎線上issue解決、找出root cause做改善等等，餐費雖然砍半了，但也比沒有好，只能先將就一下，加班的部分目前沒辦法報加班費，所以公司鼓勵盡量準時走。,新人如果能去前段，千萬不要去後段，那邊的政治很亂，基本上注重關係背景遠大於實質能力，沒做什麼事也會有人罩你，相反則無。性別雖因應公司政策，也是女性優先。
