,vacancies,company,post_time,job,location,month_salary,year_salary,year-end_salary,bonus,dividends,other,mood,frequency_overtime,average_day,seniority,total_seniority,work_content,advise_content
32,Process Engineer,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,2022.12.28,全職,臺中,56-57k,970-980k,105k,17k,129k,50k,還算愉快,很少加班,8 hr,1,5,"負責當站製程相關事務

分內工作大概是這樣，我任職地方是需要輪班(四個月一次) 日班工作室常日班
1.Fan out recipe
2.modify SPEC
3.align global team 
4.yield
工作氛圍依照各單位有所不同，但相對而言製程單位相對輕鬆，有些站點設備可以幫忙cover很多生產有關的異常，通常異常回報都先由EST確認再回報到EE/PE這邊。","不求大富大貴，可以加入
若求穩求財，建議三思
最近外商狀況不太好，在這邊業界薪資條件比較業界不像三~四年前這麼優"
33,Equipment support technician,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,2022.12.27,全職,臺中,55-56k,1100-1110k,100k,17k,125k,200k,平常心,常常加班,10 hr,4,4,"工作內容不外乎是設備應有職責

PM / Conversion / Repair...... and recipe fan out
日工時10hr/day
月工時150+46/m
加班依照勞基法最高46hr","加入美光祖墳發光
以前幾年來說美光還不錯，這間公司以人為本，主管不能對你三字經，有ER系統可以舉報

總結:每季員工聚餐/餐廳餐點不錯/工作氣氛和善/不會在意動不動就不調薪的話可以到這邊養老"
34,薄膜設備工程師,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,2022.12.11,全職,桃園,76-77k,910-920k,,,,,想換工作了,賣肝拼經濟,14 hr,1,3,"公司制度不佳。有什麼Tool owner跟值班的班長這兩個職位
你進去如果是輪班的，他們會把你當免洗在壓。
基本尊重根本沒有。 而這些Tool owner落井下石的方式在修理你值班交接有多爛，值班班長根本就是幫兇，他不會教你或者交接看你被罵。
同事都是瑞晶滑啞老人，會想辦法把你弄臭，好符合公司的10%砍人，讓你被列入觀察。","直接放棄會最好。這裡的老闆跟同事普遍學歷很低。
講話跟基本尊重都是沒有的。
所以別想在這學到任何東西，他們很會藏招的。
主要是很會排擠人
你很認真很怎樣的 報告多會寫做的在精美
他們就越是針對。 別不信邪
離職的時候跟HR講 對大家都好"
35,Test engineer,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,2022.11.09,全職,臺中,85-86k,1390-1400k,184k,,184k,,有苦說不出,常常加班,10 hr,1,5,駐廠在高雄日月光，主要負責跟測試廠溝通，將測試程式release到產線上，每次的測試程式release都需要想要怎麼驗證程式沒問題，比較麻煩的是要在有限的資源與時間下做這件事其實蠻困難的，常常被deadline追著跑。另外也會碰到測試程式，所以對程式開發有點基本的概念會比較好。,建議進來要有心理準備，這是產線缺，常常假日還要收信回信，才不會delay產品測試驗證的時程，另外也建議要有程式開發與電子學的概念與底子會比較好上手。
36,夜班技術員,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,2022.11.04,全職,臺中,39-40k,690-700k,78k,3000,84k,58k,還算愉快,偶爾加班,10 hr,1,1,"工作項目：
1. 負責生產線機器、設備之操作，並維持機台正常運作。
2. 進行製造現場的產品組裝、檢驗、包裝出貨等作業。
3. 與其他作業員進行協調，以符合生產及程序標準。
4. 填寫生產報表，以檢視與生產目標的距離。
5. 完成主管交辦有關生產產品、程序事宜。

工作環境：無塵室
福利條件：人事請假優於勞基法","能力建議：擁有基本英文職場類的單字詞彙量與基本的文書處理能力。
作息建議：43輪加上夜班會讓你減少與一般作息朋友出去的時間，要做好心理調適。
職場建議：公司屬於標準美商環境，有問題是需要自己尋求管道協助的，而且通常不會有人幫你追後續，要自立自強。"
37,廠務工程師,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,2022.11.04,實習,臺中,44-45k,520-530k,,,,,還算愉快,很少加班,8 hr,1,1,一開始會有學長帶認識廠內環境，開始讓自己可以了解廠務工程師的職責所在，一個月過後開始會需要自己去做專案報告，因為我的專長是材料，所以就針對無塵室高架地板的材質去做分析，偶後有被沿用做後續發展。,想去這間公司實習的話，需要對這間公司的產品有稍微了解，而且也需要提供自己平時如何紓解壓力的方法，好讓主管知道你可以排解壓力，工作起來不會被綁死死的人。
38,品管技術人員,長春石油化學股份有限公司,2023.02.07,全職,苗栗,43-44k,510-520k,,,,,平常心,很少加班,8 hr,1,9,"品保技術員若是分配到電子級化學品部就需四班三輪(早早中中夜夜休休)8小時正常上下班偶爾因協助同仁休假才會加班。
工作內容就是例行檢驗原料及成品，化學檢驗儀器都會碰到(較著重在ICP-OES及ICP-MS使用)。
實驗室須常態性穿著無塵服，廁所需至戶外簡陋廁所。",若為碩士建議再找其他工作，若為學士，這裡的品保技術員工作待遇應該算不錯的，準時上下班，年終、分紅在化工業前幾名。
39,生產技術員,長春石油化學股份有限公司,2023.01.02,全職,彰化,43-44k,800-810k,250k,10k,10k,20k,平常心,常常加班,8 hr,2,6,到職後才會知道分發部門，技術員會被分發在各個部門，我是生產技術員，目前彰濱二廠處於建廠階段，少部份單位生產，工作內容多以監工為主，環境不太好風沙大，且多為戶外工作，要能適應。近兩年調薪幅度大，新人起薪也大幅增加，年終近兩年也都6~8個月，含加班年薪有約80~90W。,薪水不錯，不過技術員其實就是公司內的雜工，各種瑣碎的雜事都可能是技術員的工作:油漆、拔草、挖水溝...等，公司喜歡聽話的人，如果比較有自己想法的可能就會比較辛苦。
40,cim技師,友達光電股份有限公司,2023.03.27,全職,桃園,37-38k,500-510k,64k,1000,,,還算愉快,很少加班,12 hr,3,3,做二休二，三個月論調一次，責任制，每年固定調薪一次，工作內容須有抗壓性，能排除異常系統，以及機房巡檢，不定期有課程訓練可供學習。,設備老舊，導致系統容易不穩，但制度還算完善，很適合養老的地方。
41,RD,友達光電股份有限公司,2023.03.16,全職,臺北,60-61k,960-970k,240k,,,,平常心,很少加班,8 hr,3,3,"工作loading滿看當下案子的量多寡和老闆心情，平常案子不多幾乎都可以準時上下班，上班時間壓力也不會太大，測試跑完之後會有一些自己的時間可以運用。
案子一陣一陣的來，案子多時會常常要每天加班，主管當下也會比較施壓，需要定期開會跟報告。",以顯示器面板業來說這間公司薪水不算太多，但想要work life balance的人可以考慮看看，基本的福利也不會太差，跟到好的主管上班壓力也不會太大，案子多時撐一下就好。
42,智慧製造工程師,友達光電股份有限公司,2023.02.16,全職,桃園,65-66k,1010-1020k,65k,65k,100k,,有苦說不出,很少加班,8 hr,2,2,標準的外行管內行，軟體工程師卻要負責整個智慧製造解決方案的每一部分，包括硬體。本來是做後端兼AI專案，但是又要被叫去寫網頁寫app，這些都是本來不會，但是被硬凹去的。,如果想要專精在某個技能上的話，不適合這份工作，標準台廠，需要你什麼都會，前後端到app都要會，還要研究新的演算法。
43,影像處理實習生,友達光電股份有限公司,2022.12.25,實習,桃園,32-33k,380-390k,,,,,非常開心,準時上下班,8 hr,1,1,"每個實習生會被分配到一個專案，視部門而定，大部分是做產線上的瑕疵檢測。
有些專案需從頭開始，有些則可能是接續前一年學長姐的專案延伸。
實習結束前有一個暑期實習生的競賽，龍潭、新竹、台中廠的實習生們會一起參加，比賽前幾名會有獎金，評審則是邀請大學的教授來擔任。",大部分的mentor人都很好，不過在專案上大部分還是靠自己解決問題，另外有免費的宿舍可以住也有伙食補助，這點蠻加分的。
44,PM,華邦電子股份有限公司,2022.11.17,全職,臺北,55-56k,890-900k,55k,55k,120k,,非常開心,準時上下班,8 hr,1,4,以電子商務平臺的事務為工作主要内容，需要自主性比較強的去自我安排工作，雖然母公司是半導體產業，但子公司的團隊氛圍偏向新創，公司同事大家很像一家人一樣會常常一起出去玩或吃飯，整體工作舒適度還是挺高的。不過如果要求個人進步可能比較有限，大概工作一年左右就會發現自己可能沒辦法再學習到什麽了。,屬於華邦底下的子公司，福利一切比照母公司，所以該有的基本上都有，但整體公司氛圍偏養老，可能比較合適有家庭的人來工作，如果年輕人想要努力拼一拼可能需要更有刺激的環境。
45,資材主管,寶成工業股份有限公司,2023.04.23,全職,臺北,65-66k,910-920k,130k,,,,有苦說不出,常常加班,10 hr,2,2,"官僚派系鬥爭嚴重, 處理人的問題比處理事情困難,有關係就是沒關係,沒關係就是有關係. 採購工作內容反倒不是太大挑戰,因為直接擔任主管,又身處越南,語言溝通變成相對挑戰的事情. 周一至周六都上班,且較少國定假期,習慣在台灣雙休的,不建議過來.","傳統產業學習與人溝通協商是最重要的事情. 當然本職工作技能還是需要持續鍛鍊, 海外工作歷練除了日常工作,如何與不同文化背景的同仁也是學習的重點."
46,環安衛組長,寶成工業股份有限公司,2023.04.14,全職,臺北,33-34k,830-840k,66k,2000,10k,360k,平常心,常常加班,10 hr,3,3,"外派責任制 跟著工廠出缺勤
考績廠長打 工作包山包海
對內外稽核很多 也有一個月兩次大稽核
環保局安堅嚴查 行政中心也會固定稽核
教育訓練完善 升遷看考績","外派來說52休8 機票六張可出國也可回家
以前沒有特休現在有 外派加給依地區而異
越南很差 但伙食很好 要選要選印尼 假多
自己煮vila 越南課級以上才一人一間
大陸在縮廠了 可能會被調動別國"
47,開發業務,寶成工業股份有限公司,2023.04.02,全職,臺北,65-66k,940-950k,100k,60k,,,還算愉快,常常加班,11 hr,5,7,"1.如果是初入鞋業的人可以在寶成學到相對完整的製程知識，畢竟公司花了很多成本在配合品牌的策略。
2.開發業務工作忙碌，白天內部開會統整型體的技術問題點、掌握開發轉量產進度、掌控鞋型材料測試品質等等，下班前則是將進度回覆給客戶。","擔任開發業務可以學到很多 時間壓力也相對高 算是很有成就感。

長期外派工作也是要考慮家庭照顧 朋友疏離的問題 唯一的優點是存錢比較快 吃住成本公司都吸收負擔"
48,品保課長,寶成工業股份有限公司,2023.03.17,全職,臺北,80-81k,1060-1070k,100k,,,,有苦說不出,偶爾加班,9 hr,3,10,"東南亞鞋子工廠
海外公務員
忍受長期在窮鄉僻壤生活
同事多為大陸和印尼人
少部分的台灣同事而且離職率很高
鞋子品質有好有壞
品保最終目標就是把鞋子全部出貨","年輕的大學碩士畢業生
如果在台灣沒什麼機會
可以考慮出國拼個五年再打算
有些人適應良好
長期在海外定居了
大部分人則是拼個幾年
再出國進修或跳槽吧"
49,日文品保,寶成工業股份有限公司,2023.03.13,全職,臺北,70-71k,840-850k,,,,,想換工作了,賣肝拼經濟,12 hr,2,9,"日文品保(駐印尼)對應日本客人的品保，客人駐廠

先講好的 : 
公司環境吃住都很不錯，周末會派車載去比較熱鬧的市區
薪資部分整體算高，但沒有加班費

待改善的 : 
加班加到死","畢竟是傳產中的傳產
依照這幾年的經驗是流動率很高
有外語專長的也要看看自己的身體能不能承受高工時
傳產就是用生命在換錢
年輕一點可以嘗試看看"
50,化工工程師,寶成工業股份有限公司,2023.02.23,全職,臺北,80-81k,1060-1070k,75k,2500,25k,3500,有苦說不出,很少加班,8 hr,6,6,"駐東南亞，基本代工大品牌運動鞋，主要負責底部品(中、大底)的開發打樣和對應開發客人，同時服導量產上線和處理量產問題。

宿舍在廠區內，有人洗衣掃地，三餐尚可，基本如104上說的。

現在基本跟台灣紅字休假天數一致，特休符合台灣勞基法，每年6張來回台灣機票，未使用完充公不能換錢，注意越南所得稅金需自己繳(從每個月美金薪資自動扣除)，由公司代繳。","內部派系辦公室政治嚴重，組織肥大效率十分不佳，做人比做事重要，向上管理能力吃重。

如果是理工科畢的有志青年建議勿入邪(鞋)途，待在台灣走電子或半導體未來性遠比這產業好。"
51,PMQA,寶成工業股份有限公司,2023.02.17,全職,臺北,71-72k,950-960k,100k,,,,想換工作了,賣肝拼經濟,12 hr,2,2,"(印尼廠)外派於印尼工作，主要處理品牌客戶與工廠之間的各種品質相關案件處理。
工廠無冷氣(辦公室要看是寫字樓裡還是現場，現場的幾乎沒有冷氣)
上班時間：07:00～通常要18:00以後才能下班，回宿舍後也經常需要寫品質報告。週六上半天班。
每年六趟返台機票","工時非常長，返台期間也有可能會需要處理公事，無加班費。
若非常介意工時的人需要審慎考慮。
公司餐廳提供三餐，食宿都不用額外付費。"
52,開發、技轉,寶成工業股份有限公司,2023.02.17,全職,臺北,66-67k,800-810k,12k,3000,,,還算愉快,偶爾加班,9 hr,3,3,"這是我當時還是新鮮人的薪水（底薪30,000+海外津貼等等），分紅的部分如果是在大品牌的鞋廠景氣好的花一個月約可以拿到三千以上。
所有品牌鞋廠跟海外幹部宿舍跟餐廳都在一個地方，很像一個工業區的感覺。
工作內容只要肯學沒什麼大問題，主要是跟（尤其是對岸的）同事/下屬之間的溝通要配合彼此個性。",如果你想體驗不一樣的文化跟生活，可以試試看外派，但傳產有些陋習要先了解。剛畢業來到這裡一開始蠻不適應的，主要是在於很多其他的海外幹部顛覆三觀，還有應酬文化很深，如果不喜歡被灌酒或跟主管用酒博感情，要做好坐冷板凳的準備。
53,技術襄理,寶成工業股份有限公司,2023.02.11,全職,臺北,100-101k,1350-1360k,150k,,,,有苦說不出,賣肝拼經濟,10 hr,5,13,"海外越南工作，主要工作鞋廠的IE主管，工作環境就是在現場，要能忍受酷熱的越南夏天，福利的部分是還不錯，但就是副協理以上的大主管，部分廠區會比較硬，要能忍受被屌還有超多報告PPT要做。
是住宿的地方還不錯，餐廳吃得還可以，有清潔阿姨會幫忙打掃房間以及洗衣服。",我覺得如果是新人要來寶成歷練是可以的，畢竟寶成是大公司，訓練鞋業的資訊與技術是蠻健全的，相較於如果要去其他鞋業的小廠，但公司文化可能要先能習慣。
54,副課長,寶成工業股份有限公司,2023.01.16,全職,臺北,75-76k,900-910k,,,,,還算愉快,很少加班,8 hr,1,1,"外派寶成越南的公司, 公司提供單人宿舍(有雙人床, 小台電視, 書桌椅和衣櫃) 其餘東西需自行採購, 譬如說冰箱, 大台電視機, 鍋碗瓢盆有喜歡自己煮食物來吃的
公司提供三餐, 個人是覺得伙食不錯也豐盛, 但見仁見智, 可以讓你吃飽的; 台幹全是自助餐
阿姨會幫忙打掃房間1.3.5打掃, 也會幫忙洗衣服","福利制度健全的公司, 不會讓你大富大貴, 但也不會讓你餓著; 基本上想要近來做到退休都沒有問題的
周圍好多人隨便一問年資就是十年, 八年起跳的
喜歡穩定的人可以做到退休, 喜歡嘗試挑戰與新事物的也是可以進來工作看看自己適不適合"
55,大陸四職等小主管,寶成工業股份有限公司,2023.01.10,全職,臺北,68-69k,930-940k,120k,,,,平常心,常常加班,10 hr,1,3,"大陸東莞工廠有不少駐廠客人，只要是開發或採購或品管都會很長要在下班後喝酒應酬客人，約2周一次，外加幾乎每個月都會有評鑑客人或外國人到訪，所以可以說是每周晚上幾乎都有應酬場合。這邊很在乎下班時間過1小時內就走的情況(感覺你很閒)，所以下班最好自己默默走，留在大陸的8成都是4階以上的主管，其中一半以上都是經理等級所以自己禮數要做好，有些人很好聊不代表會成為朋友。

公司內部制度是很不錯的，系統面資料輸入面，但非常偏向客人，例如本來中午午休90分鐘，被客人反應後剩下1HR，因為客人想早點下班。亦或是客人說要新增一個excel追蹤表就會在開會中被迫同意，但裡面部分內容可能在每周和客戶開會的定期報表裡就有。",大陸只剩兩間工廠都做ADIDAS，住宿非常不錯約8坪乾濕分離，洗衣共用，專人打掃，叫外賣也方便，但是遠一點加錢的比較好吃。一樣，海外生活麻煩的就是台籍自己人，這邊普遍年齡偏高約35左右，所以要交朋友要跳脫工作圈，因為好聊的人不代表可以私聊
56,副課長,寶成工業股份有限公司,2022.11.03,全職,臺北,72-73k,1070-1080k,200k,,,,有苦說不出,賣肝拼經濟,10 hr,3,6,在海外鞋廠的開發中心的業務開發相單類似於專案經理的角色，負責對外客戶的聯絡與需求的釐清，對內則推動產品的開發進度，需要與採購、報價、版師以及樣品室溝通協助。,因為寶成替諸多運動品牌代工且各別品牌客戶的制度不同，寶成內部則依照客戶別劃分為PCN(Nike)、PCaG(adidas)與PCMS（小品牌）等。通常只有PCN與PCaG的獲利較好，制度上也比較完善，所以如果不是去這兩個事業體建議再找找…
57,海外儲備幹部,寶成工業股份有限公司,2022.11.03,全職,臺北,73-74k,950-960k,80k,,,,還算愉快,很少加班,10 hr,2,6,2018年11月先去中國東莞黃江鎮裕元工業區受訓3個月，2019年02月前往駐地印尼，那時擔任組長，負責中底廠的小發泡產線。2019年05月被指派擔任 SAP導入負責人，主要以生管為主，2019/06~2020/01到台中 CBD大樓受訓，2020/02再回到印尼駐地導入。2020/07晉升為副課長。2020/10因專案導入成功，也因內部主管不足，再被指派擔任工程部主管。直到2021/02月離職。,"建議事業部選好，PCAG, PCN為優先考量。三餐、打掃、清洗衣物都有當地員工服務，算是存錢好地方。在駐地待 52天就有七天的返台假。"
58,製程工程師,寶成工業股份有限公司,2022.11.02,全職,臺北,56-57k,720-730k,56k,,,,還算愉快,很少加班,9 hr,1,3,以出差模式工作，非常駐外派，所在國家在越南，公司規模很大，以大量人工製造為主，很多廠房也很多條生產線，人員管理是最大挑戰，很多越籍同事都會說中文，在工作上有很大幫助，公司配有個人套房，三餐也都在公司，伙食豐盛。,想存錢與挑戰海外的人，建議不要出差方式，直接選擇常駐外派，在薪資與福利上更有優勢，回台換其他跑道也有加分，不過前提是能接受異鄉生活。
59,先進封裝整合工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2022.12.23,全職,桃園,66-67k,2130-2140k,133k,,1200k,,有苦說不出,常常加班,11 hr,2,6,"台積電是好公司, 但員工人數太多, 做的事情比較單一
整合工程師可以學到整條製程, 也可以看到台積先進的技術
工作內容主要是顧好自己產品的良率, 有問題需要去找出原因, 並通知各個module
也需要跟RD合作, 從RD transfer 到 FAB 量產, 內部系統繁雜也卡了很多Rule.

公司福利很好 該給的都會給, JOS有補助, 大大小小的獎金發放等等","新人來整合可以學到很多東西, 但也要想清楚未來的方向, 不要迷失在金錢裡面了"
60,雲端工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2022.11.12,全職,臺北,68-69k,950-960k,136k,3000,,,還算愉快,很少加班,8 hr,1,1,負責公司既有產品的開發 修bug 也會與其他同產品的相關部門一起cowork 福利的話辦蠻多活動可以參加 時不時也有免費的電影票卷還有1元飲料販賣機,因為公司產品跟一般的程式開發比較不一樣 也滿注重開發流程的 一開始進去上手比較辛苦 但都有完整的資料可以提供研究
61,營業服務專員,裕隆集團_格上汽車租賃股份有限公司,2023.02.10,全職,臺北,28-29k,330-340k,,,,,想換工作了,常常加班,9 hr,1,6,"超傳統傳產，重業務輕視內勤，另外還有重男輕女

系統又爛又多，每做一項作業就要開一個新系統，變得電腦很卡，裡面的人也都不會互助，連點下午茶都各點各的，而且保守認命","如果你是想要一份工作，不求錢多、任勞任怨，你可以去～

但真的不推薦就是了"
62,營服部專員,裕隆集團_格上汽車租賃股份有限公司,2022.12.29,全職,臺北,28-29k,350-360k,20k,,,,有苦說不出,常常加班,10 hr,1,1,"傳產！傳產！傳產！
氣氛不佳、沒有信任的公司，業績導向激烈，部門人員彼此不合也不會說，汽車相關行業人員非常傳統，以外務為主內勤就很慘，公司地點也非常偏僻，得自己帶便當，不能外出用餐～

傳產中的傳產，女性專員被打壓的職場，賺不到什麼錢還要看男性頤指氣使，裡面鬥爭頗兇，職員之間沒有互助和信賴，是個烏煙瘴氣的地方。

另一方面來說，這類的職場往往是福利待遇比較好的，相對於啥都沒有的新創公司來說，年終至少保底兩個月，三節和國外旅行補助兩萬元，還有按摩師。","建議進入傳產公司得做好心理準備，女生的意見比較不被重視，升職緩慢，雖然福利不錯，但我寧願要明理、上下對應合理的公司～

另外，當時公司系統奇爛無比，外接好幾個系統，以致內部效率低下，還不如不要用～～"
63,營服部專員,裕隆集團_格上汽車租賃股份有限公司,2022.11.28,全職,臺北,28-29k,390-400k,58k,,,,有苦說不出,常常加班,9 hr,1,1,"1.傳產公司業務最大，能賣車租車的是贏家，內勤人員比較雖，就是協助業務進行後續工作，比方車輛過戶、租賃還車、準備合約等事宜，其實蠻簡單的，但因為車輛多，內部系統老舊經常當機，因此做事很沒效率。

2.公司風氣保守，許多人都做很久，而且地點在車廠附近，上下班很多人選擇開車或騎車，交通不太方便，中午外出也要走很久才能有店家，基本上大家都帶便當或訂外面的吃。",平常心吧，就是傳產公司內勤，賺不到什麼錢也不會太差，基本上兩個月以上年終，出國補助好像兩還三萬，也算不差了。但是裡面的人是不會互相幫助的，好幾個同事都這麼說過，我做幾個月就走了。
64,課長,裕隆集團_格上汽車租賃股份有限公司,2022.11.15,全職,臺北,60-61k,1120-1130k,200k,100k,100k,,平常心,偶爾加班,9 hr,2,5,"公司內部各部門本位主義非常高，文化古板，以業績表現為主，連總務都會要杯水成本。
面試職位為新業務部門，故需要自行建立團隊，從提案要人開始。
三節 12月底 其他分紅 高於一般新創或傳產。",養老適合，但不適合做事，若還年輕不宜久待，公司內部其他部門會全力阻止你做事。
65,資料工程師,裕融企業股份有限公司,2023.04.12,全職,新北,60-61k,720-730k,,,,,想換工作了,偶爾加班,8 hr,1,7,"沒意義的會議一大堆，經理每天在畫大餅，把本單位當成新創公司，加班做一堆專案，卻都沒落地。
上梁不正下梁歪，好幾位襄理也幾乎沒有實作能力，各種跟著畫大餅，躲事情第一名。","裕融是一間很大的公司，各種產業都有插旗，乍看之下金流充裕，但內部政治鬥爭嚴重，2023年終更是有不少基層都低於1個月，請三思!
建議秉持著[合理的要求是訓練，不合理的要求是磨練]之精神，才能在這邊待，aka越奴越適合~"
66,資料科學家,裕融企業股份有限公司,2022.12.05,全職,新北,55-56k,910-920k,200k,,50k,,有苦說不出,很少加班,8 hr,1,4,"工作項目: 
評分卡開發、電銷名單行銷
工作環境: 
原本在信義安和附近的大樓>>目前搬遷至新店，環境髒亂，離七張站走路約10分鐘
福利條件: 
公司福利很讚，三不五時就有獎金，偶爾會有員工認股，但都須待滿一年以上才能享有","該單位為數位創新處: 
主管描述: 
統計背景，過去寫SAS，對於機器學習幾乎一竅不通，只知道名詞，完全無實作經驗，且SQL R python等程式語言能力皆為0，對於公司資料的理解程度也基於0，連PK等都不清楚，另外開會討論習慣差，都不做筆記，時常忘記自己講過甚麼，朝令夕改，指令內容更是模糊，建議會通靈的人再來。

公司政策: 
老公司想創新是件好事，但是許多高層不支持，大家卡來卡去，講真話的人直接被調職，單位創立至今也有2~3年，不斷的整改、重組、搬家，且沒有一個實際洛帝的分析專案，大家每天演演戲即可，正所謂人生如戲，全靠演技。

公司文化:
完全看資歷+學歷再壓人，不看實力。

給想加入的你:
如果你能接受進步緩慢+每天賠長官演戲，其實這邊待遇還算不錯，看看自己怎麼想囉~"
67,接待人員,和泰汽車股份有限公司,2023.04.28,派遣,臺中,24-25k,280-290k,,,,,平常心,常常加班,10 hr,1,11,在台中太平的服務廠，主要工作是接待前來保養廠的客戶，然後協助開立工單、移動車子、或是用公務車載送客戶到指定地點、有時也需要將客戶保養完畢的車開回去客戶端交車、偶爾需要依照客戶名單去電提醒保養時間已到。工作時間很長，八點上班大概七八點下班，每天早上開晨會都需要聽廠長罵人，公司同事普遍算好相處，都是老實樂觀並願意分享的人，缺點是需要久站且工時長、需要輪班,如果是對汽車產業有興趣，並且願意挑戰高薪的朋友，或許可以考慮這個工作，公司環境算單純，同事都好相處，缺點是工時很長，算是滿操的工作
68,技術專員,和泰汽車股份有限公司,2023.02.05,全職,新北,40-41k,590-600k,100k,15k,,,有苦說不出,常常加班,10 hr,1,1,市場車輛品質案件監控，困難維修支援，協助經銷商處理與維修有關的任何問題，需對接國內外製造廠，追蹤零件故障調查進度，除此之外也要做新車品質的系列點檢,工作量相當大，如有突發市場案件就會非常繁忙，由於是業務單位壓力也不小，每年業務都要進行改善相關提案
69,職員,和泰汽車股份有限公司,2022.11.30,全職,臺北,45-46k,890-900k,350k,,,,還算愉快,很少加班,8 hr,1,1,"集團式運作，除了汽車還有保險、租賃、數位事業，可以接觸多元任務，還有輪調歷練機制。辦公室小而美，電梯少特定時段塞爆。
年終獎金以業界而言相對大方。",網上都說面試難度大，確實很有挑戰，但能夠有邏輯的陳述想法與意見，比起答案正確與否來得重要。
70,專員,和泰汽車股份有限公司,2022.11.21,全職,臺北,42-43k,700-710k,127k,15k,,50k,平常心,很少加班,8 hr,1,2,"很注重報告 非常在意 如果喜歡做報告的話很適合 每一個環節都要跟主管報告 要主管同意 非常注重組織階層關係 很注重禮貌 日系文化傳承
A3報告 PDCA JKK等和泰很注重這些文書處理方式","喜歡做報告的話會很適合
有自己的思想需要做成很精美的報告呈報主管 主管可以的話才會往下做 日系文化 很注重禮儀 服儀也不能亂穿"
71,Sales,中華賓士汽車股份有限公司,2022.11.30,全職,高雄,25-26k,300-310k,,,,,還算愉快,很少加班,12 hr,1,13,剛面試時就一直強調公司同事一個月都只有月休2天，其他時間都在公司做生意跑業務，等顧客，當然大家都知道業務工作性質就是客戶call隨時到，但其實大多數員工平常上班除了跑業務以外，很多都是自由時間！並沒有像公司主管說的，每天工時12-15小時，通常都是自己安排時間！,"建議如果要到這邊工作，請記得社群軟體不要一直發出去玩的照片跟動態，這樣很打臉業務美體工時12-15小時、月休2天！
反正美天只要有進公司，就可以説天天都上班12-15小時！！！"
72,銷售顧問,中華賓士汽車股份有限公司,2022.11.12,全職,桃園,28-29k,450-460k,110k,5000,,,還算愉快,很少加班,5 hr,2,2,客戶關係聯繫、汽車產業保險招攬、新舊車處理、開會、打掃。文書作業比較多，畢竟是傳統公司。有些人因此離職，要寫很多文件按照流程,汽車產業已是黃昏產業，慢慢走向網路化。但高端產品可能還需一段時日。我不看好前景當作終生事業
73,吧台助理,汎德永業汽車股份有限公司,2023.04.17,兼職,高雄,30-31k,360-370k,,,,,還算愉快,很少加班,9 hr,1,1,"飲料製作
泡咖啡，泡飲料，遞水，遞餅乾
詢問客人是否需要果汁或汽水

餐點製作
米漢堡，中午餐點製作，通常都是微波食品

叫計程車
或是接待客人進出貴賓區

滿足客人需求
充電，購買精品等等

每週有一天下班需要開會
多留一個小時（沒加班）
但開會內容可能跟你無關","工作內容簡單
需久站
同事跟主管人都不錯
吧台工作易上手
且有轉正職機會

但轉的職位要評估
內部有一些小小團體
資深人員偶爾喜歡擺架子

薪水不高 
據我所知沒什麼加薪管道
除非待十年熬成資深主管
年終 聽說是不值得期待"
74,專員,汎德永業汽車股份有限公司,2023.02.23,全職,臺北,32-33k,480-490k,50k,3000,50k,,有苦說不出,偶爾加班,9 hr,3,3,工作地點在內湖重劃區交通不便需自備交通工具，開車騎車都很好停就是沒有大眾運輸。福利條件基本稍優於勞基法但也沒特別優秀。公司主管思維非常老派守舊基本容不下太多不同的意見,"身為指標性豪華品牌經銷商本公司非常適合當作年輕人第一份工作以及洗履歷超級跳板，品牌名氣夠響亮背後集團也是上市公司。

可惜薪資待遇與品牌價值不成正比，勞基法規定的一切比照不亂來，但只要提到錢公司就會非常愛計較，其他不論是獎金或是升遷及加薪制度非常不透明幾乎等於沒有完全看主管心情，跟對主管上天堂跟錯主管一輩子基層。

總之可以來見識看看絕對學的到東西也非常適合洗履歷，但千萬不要想在這裡有什麼長期發展除非你很會拍主管馬屁"
75,吧台助理,汎德永業汽車股份有限公司,2023.02.16,兼職,臺南,133,51-52k,,,,,有苦說不出,準時上下班,8 hr,1,3,工作環境很好，但臺南客休區很大，而且可能會一家人一起來，服務起來會很辛苦，因為通常只會有一個人上班，因為是兼職所以沒有任何福利，要處理飲品、麵包、點心等等，而且飲料沒了要馬上問,經理對於服務品質蠻要求的，所以要符合她的要求，然後也會遇到業務帶客人來，要求你準備一堆東西招待，環境是不錯，但就要很有耐心很有服務精神，有時候會有家長帶小孩寫作業，或是在遊戲間玩很久，客人來待一整天
