公司名稱,產業別(大類),產業別(中類),產業別(小類),地區,面試評價,面試難度,上班心情,加班頻率,平均月薪,面試心得數,薪資情報數,資本額
Quanta Computer_廣達電腦股份有限公司,民生服務,批發零售,燃料零售業,桃園,3.6,低,平常心,常常加班,51.3k,1013,1342,"46,000,000,000"
上銀科技股份有限公司,資訊科技,半導體業,半導體製造業,臺中,3.3,低,平常心,常常加班,40.6k,355,559,"10,000,000,000"
NCSIST 中科院_國家中山科學研究院,其他,,,桃園,3.4,低,平常心,很少加班,57k,306,206,0
日月光半導體製造股份有限公司（高雄廠）,資訊科技,光電光學,光學器材製造業,高雄,3.5,低,平常心,常常加班,42.4k,849,867,"95,000,000,000"
日月光半導體製造股份有限公司中壢分公司,資訊科技,軟體網路,電腦軟體服務業,桃園,3.5,低,平常心,常常加班,44.8k,539,582,"95,000,000,000"
美商科磊股份有限公司,傳產製造,化學製造,化學原料製造業,新竹,3.9,普通,平常心,偶爾加班,76.1k,77,83,"10,000,000"
COMPAL_仁寶電腦工業股份有限公司,傳產製造,運輸工具,汽車及其零件製造業,臺北,3.7,低,平常心,常常加班,47.7k,1170,1321,"60,000,000,000"
交通部臺灣鐵路管理局,資訊科技,電子相關,其他電子零組件相關業,臺北,3.6,低,平常心,很少加班,40.5k,35,43,"4,800,000,000"
強淞企業股份有限公司,資訊科技,電腦週邊,電腦及其週邊設備製造業,彰化,-,-,-,-,-,0,0,"456,000,000"
漢翔航空工業股份有限公司,傳產製造,鞋類紡織,鞋類製造業,臺中,3.6,低,平常心,很少加班,36.3k,134,76,"15,000,000,000"
Unimicron_欣興電子股份有限公司,其他,,,桃園,3.6,低,平常心,常常加班,42.3k,688,1012,"20,000,000,000"
ASUS_華碩電腦股份有限公司,民生服務,金融機構,銀行業,臺北,3.6,低,平常心,偶爾加班,50.4k,1199,2086,"47,500,000,000"
IBM_台灣國際商業機器股份有限公司,資訊科技,半導體業,半導體製造業,臺北,3.9,普通,平常心,偶爾加班,65.1k,173,201,"363,833,856"
美商蘋果亞洲股份有限公司,資訊科技,光電光學,光學器材製造業,臺北,4.1,普通,平常心,很少加班,89.5k,27,62,"29,500,000"
華映科技有限公司,文教傳播,廣告行銷,廣告行銷公關業,臺中,3,普通,還算愉快,很少加班,47.7k,10,2,"12,000,000"
Phison Electronics Corp_群聯電子股份有限公司,其他,,,新竹,3.8,普通,平常心,常常加班,78.3k,227,473,"3,000,000,000"
穩懋半導體股份有限公司,資訊科技,電腦週邊,電腦及其週邊設備製造業,桃園,3.8,低,平常心,偶爾加班,45.2k,192,230,"10,000,000,000"
Qisda_佳世達科技股份有限公司,其他,,,桃園,3.5,低,平常心,偶爾加班,52.5k,200,180,"50,000,000,000"
